postcode,state,locality,tr
4573,QLD,PEREGIAN BEACH,SUNSHINE COAST
4551,QLD,DICKY BEACH,SUNSHINE COAST
4216,QLD,PARADISE POINT,GOLD COAST
4519,QLD,CROHAMHURST,SUNSHINE COAST
4559,QLD,WEST WOOMBYE,SUNSHINE COAST
4561,QLD,YANDINA CREEK,SUNSHINE COAST
4810,QLD,SHELLY BEACH,SUNSHINE COAST
4208,QLD,ORMEAU HILLS,GOLD COAST
4215,QLD,SOUTHPORT,GOLD COAST
4574,QLD,KENILWORTH,SUNSHINE COAST
4210,QLD,WONGAWALLAN,GOLD COAST
4561,QLD,YANDINA,SUNSHINE COAST
4559,QLD,DIDDILLIBAH,SUNSHINE COAST
4575,QLD,BIRTINYA,SUNSHINE COAST
4227,QLD,REEDY CREEK,GOLD COAST
4552,QLD,BALD KNOB,SUNSHINE COAST
4211,QLD,PACIFIC PINES,GOLD COAST
4551,QLD,BATTERY HILL,SUNSHINE COAST
4213,QLD,BONOGIN,GOLD COAST
4207,QLD,ALBERTON,GOLD COAST
4556,QLD,BUDERIM,SUNSHINE COAST
4556,QLD,SIPPY DOWNS,SUNSHINE COAST
4551,QLD,SHELLY BEACH,SUNSHINE COAST
4217,QLD,BENOWA,GOLD COAST
4575,QLD,BUDDINA,SUNSHINE COAST
4574,QLD,COOLABINE,SUNSHINE COAST
4575,QLD,BOKARINA,SUNSHINE COAST
4208,QLD,JACOBS WELL,GOLD COAST
4553,QLD,DIAMOND VALLEY,SUNSHINE COAST
4560,QLD,BLI BLI,SUNSHINE COAST
4218,QLD,MERMAID WATERS,GOLD COAST
4207,QLD,LUSCOMBE,GOLD COAST
4220,QLD,MIAMI,GOLD COAST
4560,QLD,ROSEMOUNT,SUNSHINE COAST
4551,QLD,AROONA,SUNSHINE COAST
4562,QLD,EUMUNDI,SUNSHINE COAST
4560,QLD,BURNSIDE,SUNSHINE COAST
4573,QLD,YAROOMBA,SUNSHINE COAST
4226,QLD,ROBINA,GOLD COAST
4562,QLD,EERWAH VALE,SUNSHINE COAST
4208,QLD,ORMEAU,GOLD COAST
4573,QLD,MOUNT COOLUM,SUNSHINE COAST
4216,QLD,BIGGERA WATERS,GOLD COAST
4575,QLD,WARANA,SUNSHINE COAST
4208,QLD,NORWELL,GOLD COAST
4559,QLD,KIELS MOUNTAIN,SUNSHINE COAST
4519,QLD,COOCHIN CREEK,SUNSHINE COAST
4207,QLD,CEDAR CREEK,GOLD COAST
4209,QLD,UPPER COOMERA,GOLD COAST
4214,QLD,MOLENDINAR,GOLD COAST
4211,QLD,GAVEN,GOLD COAST
4561,QLD,NORTH ARM,SUNSHINE COAST
4560,QLD,IMAGE FLAT,SUNSHINE COAST
